date,B,BF,CL,CN,C,DD,F,GS,HFA,L,LS,M,MI,MC,MTF,OO,SC,SB,SF,W,SiteId
2015-03-02,1,0,0,74,0,0,0,0,0,0,2,0,83,14,4,0,0,1,0,63,1
2015-08-20,6,0,0,100,0,5,2,0,0,2,0,0,66,33,2,0,2,0,0,7,1
2015-11-14,7,0,0,50,0,0,8,0,0,0,1,0,36,76,7,0,0,0,0,15,1
2016-04-24,5,4,0,3,0,2,0,0,0,0,0,0,177,1,2,0,2,0,0,12,1
2016-08-27,10,3,0,90,0,3,1,0,0,1,0,1,22,75,5,0,0,1,0,3,1
2016-08-21,20,2,0,325,3,11,38,0,0,3,0,0,4,11,12,0,4,0,0,6,6
2015-03-04,0,2,0,173,0,1,27,0,0,0,0,0,9,0,0,0,0,0,0,0,7
2015-10-22,0,0,0,192,0,3,2,0,1,4,0,0,1,9,8,0,0,0,0,37,7
2016-01-15,6,5,0,232,0,3,39,1,0,0,1,0,49,2,10,0,0,0,0,81,7
2016-03-05,0,2,0,105,0,0,10,0,0,3,2,0,25,4,1,0,0,0,0,163,7
2016-07-20,8,0,0,71,0,11,8,0,1,5,3,0,31,0,4,0,0,0,0,63,7
2016-10-21,7,0,0,130,0,0,6,0,0,0,0,3,1,14,1,0,0,0,0,76,7
2015-07-25,21,1,0,109,1,0,13,0,1,0,0,5,141,0,1,0,3,0,0,3,8
2016-04-24,12,9,0,3,0,0,1,0,0,0,0,1,179,0,2,0,5,0,0,664,8
2015-03-03,3,0,0,285,0,0,0,0,1,0,0,0,11,6,29,0,0,0,0,2,9
2015-08-12,23,6,1,228,0,0,0,0,0,6,5,33,10,38,0,0,0,0,0,18,9
2015-11-24,7,1,0,451,0,0,57,0,0,0,2,0,15,6,5,0,0,0,0,0,9
2016-02-22,4,0,0,290,0,0,30,1,0,0,2,0,77,10,3,0,0,0,0,89,9
2016-04-25,13,11,0,42,0,0,0,0,0,0,0,109,349,1,2,0,0,0,0,67,9
2016-10-24,11,4,0,714,0,0,10,0,0,0,0,9,2,102,0,0,0,0,0,34,9
2015-08-30,60,4,0,202,0,0,0,0,3,0,0,7,9,29,0,0,0,1,11,0,10
2015-10-16,61,52,0,91,0,0,45,0,0,1,0,45,3,54,2,0,1,0,0,0,10
2016-10-15,42,87,1,25,0,1,76,0,0,2,0,84,0,81,0,0,1,0,0,5,10
2015-08-18,0,7,0,120,0,33,8,0,0,1,2,0,19,12,5,0,0,0,0,32,11
2015-09-24,2,0,0,172,0,9,6,0,0,1,7,22,31,2,6,0,0,0,0,18,11
2016-02-20,1,1,0,138,0,4,0,0,0,0,2,0,75,2,7,0,0,0,0,26,11
2016-05-12,0,0,0,9,0,9,0,0,0,0,4,0,179,1,0,0,0,0,0,28,11
2016-08-08,0,4,0,224,0,5,0,0,0,0,12,2,40,55,0,0,0,0,0,14,11
2016-10-06,2,0,0,247,1,4,2,0,0,3,2,10,23,159,2,0,1,0,0,12,11
2015-09-26,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,57,12
2016-01-14,0,0,0,0,0,0,0,0,0,0,50,0,123,0,0,0,0,0,0,119,12
2016-04-11,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,331,12
2016-08-08,3,12,0,119,0,0,2,0,0,0,5,21,25,0,1,0,0,0,0,24,12
2016-11-28,0,0,0,0,0,0,0,0,0,0,2,0,240,0,5,0,0,0,0,22,12
2015-10-30,11,1,0,27,0,0,5,0,1,6,0,1,2,187,2,0,56,0,0,17,13
2016-02-22,1,2,0,56,0,3,0,0,0,22,0,1,115,59,1,0,69,0,0,14,13
2016-04-15,34,12,0,2,1,1,0,0,1,2,0,0,158,25,1,0,28,0,0,6,13
2016-08-26,24,0,0,79,0,13,6,0,2,0,0,0,26,149,1,0,54,0,0,6,13
2016-11-05,4,0,0,20,0,0,18,0,0,1,0,1,12,146,3,0,130,0,0,4,13
2015-08-31,9,15,0,27,0,0,106,0,0,0,0,32,23,0,8,0,0,0,0,15,14
2016-03-29,4,0,0,5,0,1,7,0,1,1,0,0,202,0,7,0,0,0,0,26,14
2016-08-26,24,0,0,9,0,27,110,0,0,20,1,7,52,9,1,0,26,0,0,21,14
2016-10-04,4,0,0,16,0,8,66,0,1,1,0,5,44,15,34,0,4,0,14,36,14
2015-05-13,1,1,0,13,0,1,0,1,0,1,1,0,257,0,4,0,1,0,0,23,15
2015-08-06,0,0,0,137,0,1,0,1,0,1,0,0,27,20,4,0,0,0,0,10,15
2015-11-06,6,0,0,29,0,6,2,0,0,0,0,0,8,21,20,0,4,0,0,4,15
2016-03-04,0,0,0,39,0,1,0,0,0,0,0,1,190,1,10,0,2,0,0,4,15
2016-07-07,5,10,0,235,0,1,1,1,0,0,4,7,236,46,6,0,0,0,0,10,15
2015-04-12,64,1,3,257,0,0,5,0,0,0,0,0,448,0,1,0,0,0,0,394,16
2015-07-12,34,33,3,224,0,2,28,0,0,0,0,2,49,0,3,0,0,0,0,106,16
2015-10-11,157,1,2,6,0,0,105,0,1,0,0,2,29,1,2,0,0,0,3,57,16
2016-01-17,21,7,3,7,0,0,65,0,0,1,0,2,38,0,6,0,0,0,0,122,16
2016-04-17,15,17,2,15,0,0,2,0,0,0,0,3,508,1,0,0,0,0,2,94,16
2016-07-17,69,71,0,70,2,5,35,0,0,0,0,16,2,3,1,0,0,0,4,11,16
2016-10-16,104,7,0,35,0,5,18,0,4,0,0,3,50,0,2,0,0,0,2,8,16
2015-06-17,21,0,1,100,0,0,0,4,0,0,5,13,20,2,13,0,0,0,0,42,17
2015-08-16,6,3,0,105,0,0,1,0,1,0,0,18,127,0,2,0,0,0,0,9,17
2016-02-21,1,0,0,51,0,1,0,0,2,1,0,0,3,1,9,0,0,0,0,96,17
2016-10-10,0,0,0,114,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,65,18
2015-03-29,4,2,1,32,0,0,0,0,0,1,0,0,15,3,0,10,0,0,2,45,19
2015-06-28,1,0,3,22,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,37,19
2015-02-08,0,0,15,246,0,0,0,0,0,16,1,0,11,0,26,0,0,0,0,46,20
2015-05-23,2,10,4,335,0,0,0,0,0,9,4,67,417,0,0,0,0,0,0,60,20
2016-01-03,0,0,26,168,0,2,6,0,0,67,0,0,69,0,8,0,5,0,0,50,20
2015-05-15,3,0,0,64,0,0,0,0,4,0,2,17,131,9,3,0,0,0,2,0,21
2015-08-24,71,0,3,140,1,4,1,0,1,0,0,36,1,1,0,0,0,0,4,0,21
2015-10-25,40,1,1,240,0,0,6,0,2,0,0,19,16,16,1,0,0,0,4,0,21
2016-04-17,15,0,1,66,0,2,0,0,0,0,1,74,294,2,0,0,0,0,12,1,21
2016-07-10,54,3,4,155,0,0,0,0,3,0,1,13,47,4,1,0,0,0,2,1,21
2016-10-16,119,2,1,569,0,0,0,0,8,0,1,45,24,1,1,0,0,0,5,4,21
2015-04-26,89,14,0,3,0,8,0,0,1,0,0,7,111,12,3,0,0,0,3,0,22
2015-07-12,67,3,0,138,0,0,8,0,47,0,0,2,35,33,6,0,0,0,0,0,22
2015-10-31,81,4,19,7,0,13,20,0,21,0,5,4,0,69,1,1,0,0,0,3,22
2016-04-02,143,4,2,1,0,12,1,0,7,0,1,0,54,5,2,0,0,0,11,3,22
2015-03-21,10,0,7,18,1,3,14,0,0,0,2,0,68,21,3,0,54,1,1,6,23
2015-08-01,6,12,0,92,0,0,42,0,1,0,0,27,44,13,2,0,0,0,0,7,23
2015-11-29,11,0,7,0,0,0,85,0,0,0,10,3,20,0,2,0,1,0,0,81,23
2016-03-19,6,1,12,18,0,6,3,16,0,3,2,8,119,4,6,0,2,0,0,18,24
2016-09-18,26,0,3,97,0,37,10,1,1,4,2,67,25,8,3,1,11,0,0,25,24
2015-02-28,0,0,0,6,0,5,0,0,3,0,0,47,144,0,0,0,2,0,0,12,25
2015-08-15,12,0,0,63,0,15,4,0,1,8,0,175,17,2,0,0,1,0,0,23,25
2015-11-25,3,1,29,87,0,6,1,11,15,6,3,128,6,0,1,1,9,0,0,36,25
2015-06-18,24,0,0,118,1,1,0,0,1,0,0,2,7,132,3,3,13,1,2,24,26
2016-11-10,4,0,9,17,0,5,0,0,1,0,2,1,0,0,0,1,0,0,0,3,27
2016-08-25,145,0,0,101,0,3,0,0,0,0,3,22,0,0,1,0,1,0,0,1,29
2016-07-06,15,1,0,44,0,2,0,0,17,0,0,6,13,83,8,7,0,0,30,13,31
2016-10-11,20,0,0,28,0,0,0,0,14,0,0,26,4,10,3,0,0,0,15,4,31
2016-06-28,22,5,29,38,0,2,0,0,8,0,1,53,0,33,1,0,0,0,10,10,32
2015-04-13,59,2,9,0,0,0,0,0,6,0,1,32,0,88,2,0,0,0,4,0,30
2015-10-31,18,0,0,42,2,0,0,0,0,0,8,79,0,58,0,0,0,0,7,0,30
2016-10-14,53,0,0,55,0,0,0,0,8,1,0,29,7,49,1,0,0,0,11,0,30
2015-04-18,13,2,9,71,0,0,0,0,0,0,0,15,79,1,12,0,0,0,5,34,33
2016-04-16,39,2,13,69,0,0,6,0,2,0,3,0,23,2,1,0,0,6,15,154,33
2016-09-24,192,0,1,29,0,5,1,0,0,0,0,9,6,3,0,2,0,0,1,53,33
2015-04-18,8,5,0,35,2,0,0,0,0,0,2,23,48,2,0,0,0,103,0,0,34
2016-04-10,61,0,0,144,1,0,1,1,4,0,2,92,38,48,7,0,0,247,41,0,34
2016-09-25,39,0,0,37,0,0,0,0,4,0,0,42,10,1,0,0,145,3,0,0,34
2015-04-12,58,1,3,9,0,2,0,5,4,0,0,131,24,0,2,0,0,0,11,0,35
2015-10-18,192,2,0,33,2,0,0,33,10,0,1,25,5,4,6,0,0,0,11,0,35
2016-04-10,4,0,0,7,0,0,0,5,0,0,0,160,124,4,1,0,0,0,8,2,35
2016-09-17,27,0,0,72,0,2,0,33,0,0,0,39,9,10,33,0,0,0,5,3,35
2000-31-00 Shulman,13,7,0,4,0,0,0,250,0,0,0,57,9,1,6,0,0,0,3,6,121
2000-31-00 Shulman,42,0,1,17,0,2,0,57,8,0,1,31,3,20,4,0,1,0,14,4,121
2000-31-00 Shulman,43,22,2,35,0,1,0,239,3,0,0,152,30,1,2,0,0,1,7,3,121
2000-31-00 Shulman,29,0,0,20,0,2,2,81,8,0,3,39,8,25,6,0,0,0,5,1,121
2015-04-10,50,5,5,42,0,9,0,0,0,0,0,87,9,12,1,0,0,0,3,5,37
2015-09-25,82,1,4,152,1,0,0,79,2,0,0,33,2,90,0,0,0,0,9,4,37
2016-04-21,89,1,7,49,0,1,2,83,0,0,0,90,18,12,0,0,0,0,2,0,37
2016-09-23,47,0,3,98,1,1,0,56,1,0,0,24,4,92,0,0,0,0,6,7,37
2015-04-10,83,12,20,45,0,0,0,136,3,2,3,148,13,21,2,0,0,0,22,0,122
2015-09-25,91,4,1,108,0,0,0,105,5,4,0,36,1,8,0,0,0,0,4,0,122
2016-04-21,59,1,15,73,0,0,0,91,10,0,0,207,2,29,1,0,0,0,15,1,122
2016-09-23,47,0,0,110,0,0,0,120,6,0,0,123,0,9,0,0,0,1,16,2,122
2015-04-10,89,1,9,24,0,0,1,6,1,0,0,132,7,5,2,0,0,0,24,0,123
2015-09-25,376,0,0,174,0,1,0,33,9,0,0,45,4,14,1,0,0,0,37,1,123
2016-04-21,217,0,2,27,0,0,0,14,3,0,0,288,5,9,1,0,0,0,22,1,123
2016-09-23,143,0,1,38,1,3,0,115,8,0,0,48,1,3,1,0,0,0,28,0,123
2016-12-08,0,43,0,1,5,0,0,0,6,0,0,10,11,22,2,0,0,0,201,6,40
2015-01-25,0,68,0,3,0,1,0,0,2,0,3,73,18,3,12,0,0,0,74.5,3,41
2015-01-25,0,101,0,4,0,0,0,0,0,0,0,98,0,6,28,0,0,0,0,4,41
2016-04-14,28,19,0,4,2,12,0,15,14,0,1,62,20,35,4,0,0,0,48,2,41
2016-07-19,32,2,0,4,0,3,0,0,9,0,0,49,0,13,7,0,0,0,21,2,41
2016-07-19,35,4,0,29,0,18,0,1,15,0,0,70,0,70,17,1,1,0,23,5,41
2016-11-12,36,15,6,16,0,10,0,11,3,0,1,103,21,42,8,0,0,0,25,0,41
2015-01-25,10,45,0,3,0,2,4,9,4,0,23,32,28,36,15,0,0,0,44,1,42
2015-01-25,16,47,0,8,0,2,4,1,7,0,23,34,14,0,28,0,0,0,94,1,42
2015-01-25,17,54,0,11,0,2,4,9,9,0,23,53,28,0,34,0,0,0,110,1,42
2016-05-18,4,35,0,3,0,0,0,1,1,0,0,90,14,5,4,0,0,0,14,1,42
2016-05-18,8,62,0,5,0,5,0,9,4,0,0,99,20,13,56,0,0,0,29,0,42
2016-05-18,48,64,0,7,0,6,0,10,5,0,1,163,95,17,59,0,0,0,48,0,42
2016-07-19,38,1,0,23,0,0,0,4,3,0,0,9,0,239,12,0,0,0,41,0,42
2016-07-19,49,9,1,95,0,4,0,6,5,0,2,28,0,286,21,0,0,0,61,1,42
2016-11-12,1,4,0,3,0,0,0,33,0,0,0,109,3,9,6,0,0,0,13,0,42
2016-11-12,7,16,0,33,0,0,0,0,3,0,0,188,150,27,6,0,0,0,46,11,42
2015-06-20,60,1,1,48,0,2,1,3,3,0,0,44,3,21,4,0,0,0,23,26,43
2015-09-19,108,0,10,72,0,4,1,67,19,0,0,82,5,137,3,0,0,0,39,2,43
2015-10-31,6,0,8,28,0,3,1,120,10,0,0,95,0,19,6,0,0,0,46,5,43
2016-07-19,123,0,0,41,0,1,0,79,3,1,1,29,0,79,7,0,0,0,26,11,43
2016-10-12,77,1,0,10,0,0,0,46,3,0,0,25,0,25,0,0,0,0,11,7,43
2015-07-01,46,1,0,11,6,0,0,70,1,0,0,47,14,4,11,0,0,0,3,0,44
2015-11-22,6,2,0,3,1,3,3,0,4,0,0,97,6,15,2,0,0,0,54,9,44
2016-07-20,65,0,0,40,11,0,1,4,17,0,0,133,4,11,13,1,0,0,17,8,44
2016-10-30,39,0,0,65,1,3,0,53,17,0,0,133,2,0,9,0,0,0,17,3,44
2016-10-18,29,0,13,35,0,9,0,33,11,0,0,51,0,18,1,0,0,0,5,4,45
2016-06-09,61,0,0,66,0,6,0,5,26,0,0,72,0,21,3,0,0,0,49,19,46
2016-07-17,38,0,0,19,0,1,0,11,1,0,0,58,0,59,1,0,0,0,17,39,46
2016-10-15,108,0,0,3,0,2,2,18,3,0,0,31,0,5,3,0,0,0,8,19,46
2015-12-12,10,40,0,310,0,0,0,6,3,0,0,556,9,100,5,0,0,0,52,2,47
2016-07-13,42,2,5,139,3,0,0,0,1,0,0,86,23,1,1,0,0,0,27,0,47
2016-10-29,91,6,0,262,0,2,0,15,3,0,8,315,0,4,3,0,0,0,6,0,47
2015-11-28,35,0,0,37,3,0,0,0,0,0,0,63,6,33,7,0,0,0,29,1,48
2016-04-02,13,54,0,0,2,0,0,0,0,0,0,110,36,58,0,0,0,0,18,0,48
2016-05-31,47,19,0,2,6,3,0,0,0,0,0,48,34,16,4,0,0,0,28,1,48
2015-08-05,45,2,0,76,0,0,0,6,1,0,0,75,15,9,18,2,0,0,8,0,49
2016-07-13,64,3,0,60,0,1,2,6,3,0,0,46,0,0,10,2,0,0,13,6,49
2016-10-29,72,0,0,43,0,2,0,22,2,0,0,143,1,5,5,0,0,0,7,0,49
2015-04-04,0,0,0,101,0,0,2,0,0,1,0,1,171,11,3,0,0,14,7,7,50
2015-07-25,1,0,0,269,0,0,6,0,0,10,0,52,37,3,2,0,0,5,83,29,50
2015-09-05,0,0,0,41,0,3,67,0,1,1,0,84,186,27,2,0,0,3,0,13,50
2015-12-12,0,0,0,100,0,1,154,0,0,2,2,0,56,11,8,0,0,4,0,15,50
2016-03-26,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,5,50
2016-08-25,0,0,0,94,0,1,52,0,0,0,0,0,112,30,0,0,0,2,0,14,50
2016-11-23,1,0,0,52,0,0,8,0,0,2,0,1,143,10,4,0,3,3,2,0,50
2015-11-29,3,5,0,95,0,0,0,0,0,0,1,0,66,44,11,0,3,0,0,2,52
2016-07-29,16,5,0,45,9,0,0,5,0,0,2,0,101,12,4,0,2,4,0,0,52
2015-04-20,0,3,3,31,0,0,0,0,0,0,14,0,292,0,3,0,0,0,0,127,53
2016-08-27,0,4,0,44,0,0,0,0,0,0,2,30,54,0,4,0,2,0,0,75,53
2015-05-30,0,12,0,931,0,0,0,0,0,0,8,11,1041,5,10,0,0,0,0,6,54
2015-05-11,34,3,0,35,0,0,0,0,1,1,0,62,10,10,3,0,0,0,12,34,51
2016-10-25,12,0,0,117,1,0,0,0,7,0,0,1,0,59,2,0,0,0,3,0,51
2015-05-05,64,0,7,3,1,9,0,0,6,1,1,38,68,16,5,0,0,2,13,8,55
2015-09-15,39,0,16,149,0,7,8,1,21,0,3,18,5,56,0,0,0,0,9,9,56
